ORD,PERSIAN,SYNONYM,ENGEX,PEREX,TYP,BILD
att vara – är,بودن,"existera, finnas","1. Jag är trött.
2. Han är lärare.
3. Vi är hemma.","1. من خسته‌ام.
2. او معلم است.
3. ما خانه‌ایم.",vara – var – är – var – varit – ska vara,https://images.unsplash.com/photo-1508780709619-79562169bc64
att ha – har,داشتن,"äga, inneha","1. Jag har en bok.
2. Hon har tid.
3. De har en bil.","1. من یک کتاب دارم.
2. او وقت دارد.
3. آنها یک ماشین دارند.",ha – ha – har – hade – haft – ska ha,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
att göra – gör,انجام دادن,"utföra, skapa","1. Vad gör du?
2. Jag gör min läxa.
3. Han gör mat.","1. چه می‌کنی؟
2. من مشقم را انجام می‌دهم.
3. او غذا درست می‌کند.",göra – gör – gör – gjorde – gjort – ska göra,https://images.unsplash.com/photo-1504384308090-c894fdcc538d
att gå – går,رفتن,"promenera, vandra","1. Jag går till skolan.
2. Vi går hem.
3. Hon går ofta på bio.","1. من به مدرسه می‌روم.
2. ما به خانه می‌رویم.
3. او زیاد سینما می‌رود.",gå – gå – går – gick – gått – ska gå,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
att komma – kommer,آمدن,"anlända, dyka upp","1. Han kommer snart.
2. Jag kommer från Iran.
3. De kommer hem sent.","1. او زود می‌آید.
2. من از ایران آمده‌ام.
3. آنها دیر به خانه می‌آیند.",komma – kom – kommer – kom – kommit – ska komma,https://images.unsplash.com/photo-1494790108377-be9c29b29330
att äta – äter,خوردن,"tugga, konsumera","1. Vi äter frukost.
2. Han äter en smörgås.
3. Barnet äter glass.","1. ما صبحانه می‌خوریم.
2. او یک ساندویچ می‌خورد.
3. بچه بستنی می‌خورد.",äta – ät – äter – åt – ätit – ska äta,https://images.unsplash.com/photo-1504674900247-0877df9cc836
att dricka – dricker,نوشیدن,"klunka, slurpa","1. Jag dricker vatten.
2. Hon dricker kaffe.
3. Vi dricker juice.","1. من آب می‌نوشم.
2. او قهوه می‌نوشد.
3. ما آبمیوه می‌نوشیم.",dricka – drick – dricker – drack – druckit – ska dricka,https://images.unsplash.com/photo-1510626176961-4b57d4fbad03
att skriva – skriver,نوشتن,"notera, anteckna","1. Jag skriver ett brev.
2. Hon skriver i sin dagbok.
3. De skriver på datorn.","1. من یک نامه می‌نویسم.
2. او در دفتر خاطراتش می‌نویسد.
3. آنها با کامپیوتر می‌نویسند.",skriva – skriv – skriver – skrev – skrivit – ska skriva,https://images.unsplash.com/photo-1517842645767-c639042777db
att läsa – läser,خواندن,"studera, bläddra","1. Jag läser en bok.
2. Han läser tidningen.
3. Vi läser svenska.","1. من یک کتاب می‌خوانم.
2. او روزنامه می‌خواند.
3. ما سوئدی می‌خوانیم.",läsa – läs – läser – läste – läst – ska läsa,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
att tala – talar,صحبت کردن,"prata, säga","1. Hon talar svenska.
2. Vi talar med läraren.
3. De talar högt.","1. او سوئدی صحبت می‌کند.
2. ما با معلم صحبت می‌کنیم.
3. آنها بلند صحبت می‌کنند.",tala – tala – talar – talade – talat – ska tala,https://images.unsplash.com/photo-1494790108377-be9c29b29330
att bo – bor,زندگی کردن,"leva, vistas","1. Jag bor i Malmö.
2. Hon bor ensam.
3. Vi bor nära centrum.","1. من در مالمو زندگی می‌کنم.
2. او تنها زندگی می‌کند.
3. ما نزدیک مرکز زندگی می‌کنیم.",bo – bo – bor – bodde – bott – ska bo,https://images.unsplash.com/photo-1502673530728-f79b4cab31b1
att köpa – köper,خریدن,"handla, skaffa","1. Jag köper mjölk.
2. Hon köper kläder.
3. De köper en ny bil.","1. من شیر می‌خرم.
2. او لباس می‌خرد.
3. آنها یک ماشین جدید می‌خرند.",köpa – köp – köper – köpte – köpt – ska köpa,https://images.unsplash.com/photo-1543163521-1bf539c55ddc
att sälja – säljer,فروختن,"avyttra, handla","1. Han säljer frukt.
2. De säljer huset.
3. Jag säljer min cykel.","1. او میوه می‌فروشد.
2. آنها خانه را می‌فروشند.
3. من دوچرخه‌ام را می‌فروشم.",sälja – sälj – säljer – sålde – sålt – ska sälja,https://images.unsplash.com/photo-1503602642458-232111445657
att öppna – öppnar,باز کردن,"slå upp, låsa upp","1. Hon öppnar dörren.
2. Jag öppnar fönstret.
3. Butiken öppnar kl 9.","1. او در را باز می‌کند.
2. من پنجره را باز می‌کنم.
3. فروشگاه ساعت ۹ باز می‌شود.",öppna – öppna – öppnar – öppnade – öppnat – ska öppna,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att stänga – stänger,بستن,"låsa, sluta","1. Jag stänger dörren.
2. Hon stänger boken.
3. Vi stänger butiken.","1. من در را می‌بندم.
2. او کتاب را می‌بندد.
3. ما فروشگاه را می‌بندیم.",stänga – stäng – stänger – stängde – stängt – ska stänga,https://images.unsplash.com/photo-1505691723518-36a0f673d8a5
att sova – sover,خوابیدن,"vila, slumra","1. Jag sover gott.
2. Barnet sover nu.
3. Vi sover på hotellet.","1. من خوب می‌خوابم.
2. بچه الان خواب است.
3. ما در هتل می‌خوابیم.",sova – sov – sover – sov – sovit – ska sova,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att vakna – vaknar,بیدار شدن,"uppstå, resa sig","1. Jag vaknar tidigt.
2. Hon vaknar kl 7.
3. Barnet vaknar snabbt.","1. من زود بیدار می‌شوم.
2. او ساعت ۷ بیدار می‌شود.
3. بچه سریع بیدار می‌شود.",vakna – vakna – vaknar – vaknade – vaknat – ska vakna,https://images.unsplash.com/photo-1517841905240-472988babdf9
att arbeta – arbetar,کار کردن,"jobba, verka","1. Jag arbetar på bank.
2. Han arbetar hårt.
3. Vi arbetar i grupp.","1. من در بانک کار می‌کنم.
2. او سخت کار می‌کند.
3. ما گروهی کار می‌کنیم.",arbeta – arbeta – arbetar – arbetade – arbetat – ska arbeta,https://images.unsplash.com/photo-1504384764586-bb4cdc1707b0
att studera – studerar,درس خواندن,"plugga, läsa","1. Jag studerar svenska.
2. Hon studerar på universitetet.
3. De studerar tillsammans.","1. من سوئدی می‌خوانم.
2. او در دانشگاه درس می‌خواند.
3. آنها با هم درس می‌خوانند.",studera – studera – studerar – studerade – studerat – ska studera,https://images.unsplash.com/photo-1498079022511-d15614cb1c02
att förstå – förstår,فهمیدن,"begripa, inse","1. Jag förstår dig.
2. Hon förstår svenska.
3. Vi förstår frågan.","1. من تو را می‌فهمم.
2. او سوئدی می‌فهمد.
3. ما سؤال را می‌فهمیم.",förstå – förstå – förstår – förstod – förstått – ska förstå,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att veta – vet,دانستن,"känna till, begripa","1. Jag vet svaret.
2. Han vet mycket.
3. De vet inget.","1. من جواب را می‌دانم.
2. او خیلی می‌داند.
3. آنها چیزی نمی‌دانند.",veta – vet – vet – visste – vetat – ska veta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att tänka – tänker,فکر کردن,"fundera, reflektera","1. Jag tänker på dig.
2. Hon tänker mycket.
3. Vi tänker resa.","1. من به تو فکر می‌کنم.
2. او زیاد فکر می‌کند.
3. ما قصد سفر داریم.",tänka – tänk – tänker – tänkte – tänkt – ska tänka,https://images.unsplash.com/photo-1484981138541-3d074aa97716
att tycka – tycker,نظر داشتن,"anse, mena","1. Jag tycker om musik.
2. Hon tycker det är bra.
3. De tycker likadant.","1. من موسیقی دوست دارم.
2. او فکر می‌کند این خوب است.
3. آنها هم‌عقیده‌اند.",tycka – tyck – tycker – tyckte – tyckt – ska tycka,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att gilla – gillar,دوست داشتن,"tycka om, uppskatta","1. Jag gillar kaffe.
2. Hon gillar sport.
3. Vi gillar vår stad.","1. من قهوه دوست دارم.
2. او ورزش دوست دارد.
3. ما شهرمان را دوست داریم.",gilla – gilla – gillar – gillade – gillat – ska gilla,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att behöva – behöver,نیاز داشتن,"måste, kräva","1. Jag behöver hjälp.
2. Hon behöver pengar.
3. Vi behöver vila.","1. من کمک لازم دارم.
2. او پول لازم دارد.
3. ما نیاز به استراحت داریم.",behöva – behöv – behöver – behövde – behövt – ska behöva,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att kunna – kan,توانستن,"klara, orka","1. Jag kan simma.
2. Hon kan läsa.
3. Vi kan arbeta.","1. من می‌توانم شنا کنم.
2. او می‌تواند بخواند.
3. ما می‌توانیم کار کنیم.",kunna – kunna – kan – kunde – kunnat – ska kunna,https://images.unsplash.com/photo-1508780709619-79562169bc64
att vilja – vill,خواستن,"önska, hoppas","1. Jag vill äta.
2. Han vill resa.
3. De vill prata.","1. من می‌خواهم بخورم.
2. او می‌خواهد سفر کند.
3. آنها می‌خواهند صحبت کنند.",vilja – vilja – vill – ville – velat – ska vilja,https://images.unsplash.com/photo-1508780709619-79562169bc64
att fråga – frågar,پرسیدن,"undra, begära","1. Jag frågar läraren.
2. Hon frågar ofta.
3. De frågar varför.","1. من از معلم می‌پرسم.
2. او زیاد می‌پرسد.
3. آنها می‌پرسند چرا.",fråga – fråga – frågar – frågade – frågat – ska fråga,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att svara – svarar,جواب دادن,"bemöta, replikera","1. Jag svarar på mejlet.
2. Hon svarar snabbt.
3. De svarar alltid.","1. من به ایمیل جواب می‌دهم.
2. او سریع جواب می‌دهد.
3. آنها همیشه جواب می‌دهند.",svara – svara – svarar – svarade – svarat – ska svara,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att ringa – ringer,زنگ زدن,"telefonera, kalla","1. Jag ringer mamma.
2. Han ringer varje dag.
3. Vi ringer polisen.","1. من به مامان زنگ می‌زنم.
2. او هر روز زنگ می‌زند.
3. ما به پلیس زنگ می‌زنیم.",ringa – ring – ringer – ringde – ringt – ska ringa,https://images.unsplash.com/photo-1517842645767-c639042777db
att använda – använder,استفاده کردن,"nyttja, bruka","1. Jag använder datorn.
2. Hon använder glasögon.
3. De använder bussen.","1. من از کامپیوتر استفاده می‌کنم.
2. او عینک استفاده می‌کند.
3. آنها از اتوبوس استفاده می‌کنند.",använda – använd – använder – använde – använt – ska använda,https://images.unsplash.com/photo-1503602642458-232111445657
att spela – spelar,بازی کردن/نواختن,"leka, framföra","1. Jag spelar gitarr.
2. Hon spelar fotboll.
3. Vi spelar schack.","1. من گیتار می‌زنم.
2. او فوتبال بازی می‌کند.
3. ما شطرنج بازی می‌کنیم.",spela – spela – spelar – spelade – spelat – ska spela,https://images.unsplash.com/photo-1517842645767-c639042777db
att titta – tittar,نگاه کردن,"se, kika","1. Jag tittar på TV.
2. Hon tittar på barnet.
3. Vi tittar ut.","1. من تلویزیون نگاه می‌کنم.
2. او به بچه نگاه می‌کند.
3. ما بیرون را نگاه می‌کنیم.",titta – titta – tittar – tittade – tittat – ska titta,https://images.unsplash.com/photo-1494790108377-be9c29b29330
att se – ser,دیدن,"observera, betrakta","1. Jag ser dig.
2. Hon ser filmen.
3. Vi ser solen.","1. من تو را می‌بینم.
2. او فیلم را می‌بیند.
3. ما خورشید را می‌بینیم.",se – se – ser – såg – sett – ska se,https://images.unsplash.com/photo-1494790108377-be9c29b29330
att höra – hör,شنیدن,"lyssna, uppfatta","1. Jag hör musik.
2. Hon hör fåglar.
3. De hör allt.","1. من موسیقی می‌شنوم.
2. او پرنده‌ها را می‌شنود.
3. آنها همه‌چیز می‌شنوند.",höra – hör – hör – hörde – hört – ska höra,https://images.unsplash.com/photo-1508780709619-79562169bc64
att känna – känner,احساس کردن/شناختن,"uppleva, erfara","1. Jag känner dig.
2. Hon känner sig glad.
3. Vi känner värme.","1. من تو را می‌شناسم.
2. او احساس خوشحالی می‌کند.
3. ما گرما را حس می‌کنیم.",känna – känn – känner – kände – känt – ska känna,https://images.unsplash.com/photo-1517841905240-472988babdf9
att leva – lever,زندگی کردن,"bo, existera","1. Han lever i Sverige.
2. Vi lever bra.
3. Hon lever länge.","1. او در سوئد زندگی می‌کند.
2. ما خوب زندگی می‌کنیم.
3. او طولانی زندگی می‌کند.",leva – lev – lever – levde – levt – ska leva,https://images.unsplash.com/photo-1502673530728-f79b4cab31b1
att dö – dör,مردن,"avlida, gå bort","1. Han dör gammal.
2. Blommorna dör.
3. Djuret dör snabbt.","1. او پیر می‌میرد.
2. گل‌ها می‌میرند.
3. حیوان سریع می‌میرد.",dö – dö – dör – dog – dött – ska dö,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
att ge – ger,دادن,"lämna, skänka","1. Jag ger en bok.
2. Hon ger pengar.
3. De ger råd.","1. من یک کتاب می‌دهم.
2. او پول می‌دهد.
3. آنها نصیحت می‌دهند.",ge – ge – ger – gav – gett – ska ge,https://images.unsplash.com/photo-1503602642458-232111445657
att ta – tar,گرفتن,"hämta, gripa","1. Jag tar bussen.
2. Hon tar en bild.
3. Vi tar semester.","1. من اتوبوس می‌گیرم.
2. او عکس می‌گیرد.
3. ما مرخصی می‌گیریم.",ta – ta – tar – tog – tagit – ska ta,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
att lägga – lägger,گذاشتن,"placera, sätta","1. Jag lägger boken på bordet.
2. Hon lägger sig.
3. Vi lägger pengar i lådan.","1. من کتاب را روی میز می‌گذارم.
2. او دراز می‌کشد.
3. ما پول را در جعبه می‌گذاریم.",lägga – lägg – lägger – lade – lagt – ska lägga,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att spela – spelar,بازی کردن/نواختن,"leka, framföra","1. Jag spelar piano.
2. Barnen spelar fotboll.
3. Vi spelar kort.","1. من پیانو می‌زنم.
2. بچه‌ها فوتبال بازی می‌کنند.
3. ما ورق بازی می‌کنیم.",spela – spela – spelar – spelade – spelat – ska spela,https://images.unsplash.com/photo-1517842645767-c639042777db
att skriva – skriver,نوشتن,"notera, anteckna","1. Jag skriver dagbok.
2. Hon skriver brev.
3. Vi skriver rapport.","1. من دفتر خاطرات می‌نویسم.
2. او نامه می‌نویسد.
3. ما گزارش می‌نویسیم.",skriva – skriv – skriver – skrev – skrivit – ska skriva,https://images.unsplash.com/photo-1517842645767-c639042777db
att läsa – läser,خواندن,"studera, bläddra","1. Jag läser en tidning.
2. Hon läser bok.
3. Vi läser artiklar.","1. من یک روزنامه می‌خوانم.
2. او کتاب می‌خواند.
3. ما مقاله می‌خوانیم.",läsa – läs – läser – läste – läst – ska läsa,https://images.unsplash.com/photo-1524995997946-a1c2e315a42f
att öppna – öppnar,باز کردن,"slå upp, låsa upp","1. Jag öppnar fönstret.
2. Hon öppnar paketet.
3. Vi öppnar dörren.","1. من پنجره را باز می‌کنم.
2. او بسته را باز می‌کند.
3. ما در را باز می‌کنیم.",öppna – öppna – öppnar – öppnade – öppnat – ska öppna,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att stänga – stänger,بستن,"låsa, sluta","1. Jag stänger fönstret.
2. Hon stänger dörren.
3. Vi stänger butiken.","1. من پنجره را می‌بندم.
2. او در را می‌بندد.
3. ما فروشگاه را می‌بندیم.",stänga – stäng – stänger – stängde – stängt – ska stänga,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att laga – lagar,درست کردن (غذا/چیزها),"reparera, fixa","1. Jag lagar mat.
2. Hon lagar bilen.
3. Vi lagar huset.","1. من غذا درست می‌کنم.
2. او ماشین را تعمیر می‌کند.
3. ما خانه را تعمیر می‌کنیم.",laga – laga – lagar – lagade – lagat – ska laga,https://images.unsplash.com/photo-1517245386807-bb43f82c33c4
att resa – reser,سفر کردن,"åka, bege sig","1. Jag reser till Paris.
2. Hon reser ofta.
3. Vi reser med tåg.","1. من به پاریس سفر می‌کنم.
2. او زیاد سفر می‌کند.
3. ما با قطار سفر می‌کنیم.",resa – res – reser – reste – rest – ska resa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e
att köra – kör,رانندگی کردن,"styra, manövrera","1. Jag kör bil.
2. Hon kör buss.
3. Vi kör till jobbet.","1. من ماشین می‌راند.
2. او اتوبوس می‌راند.
3. ما به محل کار می‌رانیم.",köra – kör – kör – körde – kört – ska köra,https://images.unsplash.com/photo-1503602642458-232111445657
att springa – springer,دویدن,"löpa, jogga","1. Jag springer varje morgon.
2. Hon springer fort.
3. Vi springer i parken.","1. من هر صبح می‌دوم.
2. او سریع می‌دود.
3. ما در پارک می‌دویم.",springa – spring – springer – sprang – sprungit – ska springa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att gå – går,رفتن,"promenera, vandra","1. Jag går till jobbet.
2. Hon går hem.
3. Vi går i skogen.","1. من به سر کار می‌روم.
2. او به خانه می‌رود.
3. ما در جنگل می‌رویم.",gå – gå – går – gick – gått – ska gå,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
att komma – kommer,آمدن,"anlända, dyka upp","1. Jag kommer snart.
2. Hon kommer hem.
3. Vi kommer på festen.","1. من زود می‌آیم.
2. او به خانه می‌آید.
3. ما به مهمانی می‌آییم.",komma – kom – kommer – kom – kommit – ska komma,https://images.unsplash.com/photo-1494790108377-be9c29b29330
att lämna – lämnar,ترک کردن/تحویل دادن,"ge, överlämna","1. Jag lämnar nyckeln.
2. Hon lämnar huset.
3. Vi lämnar paketet.","1. من کلید را می‌دهم.
2. او خانه را ترک می‌کند.
3. ما بسته را تحویل می‌دهیم.",lämna – lämna – lämnar – lämnade – lämnat – ska lämna,https://images.unsplash.com/photo-1503602642458-232111445657
att hitta – hittar,پیدا کردن,"finna, upptäcka","1. Jag hittar vägen.
2. Hon hittar boken.
3. Vi hittar lösningen.","1. من راه را پیدا می‌کنم.
2. او کتاب را پیدا می‌کند.
3. ما راه حل را پیدا می‌کنیم.",hitta – hitta – hittar – hittade – hittat – ska hitta,https://images.unsplash.com/photo-1505691938895-1758d7feb511
att förlora – förlorar,از دست دادن,"tappa, miste","1. Jag förlorar nyckeln.
2. Hon förlorar matchen.
3. Vi förlorar tåget.","1. من کلید را گم می‌کنم.
2. او بازی را می‌بازد.
3. ما قطار را از دست می‌دهیم.",förlora – förlora – förlorar – förlorade – förlorat – ska förlora,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att vinna – vinner,برنده شدن,"segra, triumfera","1. Jag vinner tävlingen.
2. Hon vinner priset.
3. Vi vinner matchen.","1. من مسابقه را برنده می‌شوم.
2. او جایزه می‌برد.
3. ما بازی را برنده می‌شویم.",vinna – vinn – vinner – vann – vunnit – ska vinna,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att använda – använder,استفاده کردن,"nyttja, bruka","1. Jag använder datorn.
2. Hon använder mobil.
3. Vi använder pennor.","1. من از کامپیوتر استفاده می‌کنم.
2. او از موبایل استفاده می‌کند.
3. ما از خودکار استفاده می‌کنیم.",använda – använd – använder – använde – använt – ska använda,https://images.unsplash.com/photo-1503602642458-232111445657
att försöka – försöker,تلاش کردن,"pröva, testa","1. Jag försöker lära mig svenska.
2. Hon försöker laga mat.
3. Vi försöker igen.","1. من تلاش می‌کنم سوئدی یاد بگیرم.
2. او تلاش می‌کند غذا درست کند.
3. ما دوباره تلاش می‌کنیم.",försöka – försök – försöker – försökte – försökt – ska försöka,https://images.unsplash.com/photo-1508780709619-79562169bc64
att träffa – träffar,ملاقات کردن,"möta, ses","1. Jag träffar vänner.
2. Hon träffar läkaren.
3. Vi träffar familjen.","1. من دوستانم را ملاقات می‌کنم.
2. او پزشک را ملاقات می‌کند.
3. ما خانواده را ملاقات می‌کنیم.",träffa – träff – träffar – träffade – träffat – ska träffa,https://images.unsplash.com/photo-1504384308090-c894fdcc538d
att bo – bor,زندگی کردن,"leva, vistas","1. Jag bor i Stockholm.
2. Hon bor med familjen.
3. Vi bor i hus.","1. من در استکهلم زندگی می‌کنم.
2. او با خانواده زندگی می‌کند.
3. ما در خانه زندگی می‌کنیم.",bo – bo – bor – bodde – bott – ska bo,https://images.unsplash.com/photo-1502673530728-f79b4cab31b1
